2017-06-17,48284
2017-06-18,40656
2017-06-19,43472
2017-06-20,51256
2017-06-21,54189
2017-06-22,50805
2017-06-23,31911
2017-06-24,53235
2017-06-25,41762
2017-06-26,36154
2017-06-27,47151
2017-06-28,51138
2017-06-29,47584
2017-06-30,34735
2017-07-01,45070
2017-07-02,37352
2017-07-03,40432
2017-07-04,47759
2017-07-05,48428
2017-07-06,54063
2017-07-07,31720
2017-07-08,53292
2017-07-09,41321
2017-07-10,46334
2017-07-11,49750
2017-07-12,51732
2017-07-13,50255
2017-07-14,31538
2017-07-15,46760
2017-07-16,39709
2017-07-17,51645
2017-07-18,45463
2017-07-19,50244
2017-07-20,48296
2017-07-21,34120
2017-07-22,53200
2017-07-23,46211
2017-07-24,48767
2017-07-25,44234
2017-07-26,44067
2017-07-27,47820
2017-07-28,32127
2017-07-29,46551
2017-07-30,43225
2017-07-31,43910
2017-08-01,53502
2017-08-02,50993
2017-08-03,47661
2017-08-04,31732
2017-08-05,45772
2017-08-06,39724
2017-08-07,50839
2017-08-08,47886
2017-08-09,47071
2017-08-10,48303
2017-08-11,29242
2017-08-12,47752
2017-08-13,39972
2017-08-14,44975
2017-08-15,50300
2017-08-16,48755
2017-08-17,48480
2017-08-18,30536
2017-08-19,49900
2017-08-20,37544
2017-08-21,45602
2017-08-22,48199
2017-08-23,44862
2017-08-24,47350
2017-08-25,30519
2017-08-26,47923
2017-08-27,34123
2017-08-28,45154
2017-08-29,49055
2017-08-30,51514
2017-08-31,55838
2017-09-01,33063
2017-09-02,58234
2017-09-03,37781
2017-09-04,42805
2017-09-05,46991
2017-09-06,45228
2017-09-07,45754
2017-09-08,33631
2017-09-09,51437
2017-09-10,35997
2017-09-11,41116
2017-09-12,45394
2017-09-13,44781
2017-09-14,43364
2017-09-15,35810
2017-09-16,50871
2017-09-17,38342
2017-09-18,46382
2017-09-19,43701
2017-09-20,16806
2017-09-22,27286
2017-09-23,48044
2017-09-24,38650
2017-09-25,42127
2017-09-26,48248
2017-09-27,47385
2017-09-28,43324
2017-09-29,20497
2017-10-01,44299
2017-10-02,50773
2017-10-03,44053
2017-10-04,23249
2017-10-05,30694
2017-10-06,26124
2017-10-07,44363
2017-10-08,46431
2017-10-09,52782
2017-10-10,51927
2017-10-11,29029
2017-10-12,39526
2017-10-13,31258
2017-10-14,50642
2017-10-15,36644
2017-10-16,39474
2017-10-17,52173
2017-10-18,51755
2017-10-19,49948
2017-10-20,34116
2017-10-21,55022
2017-10-22,41089
2017-10-23,46437
2017-10-24,47580
2017-10-25,49575
2017-10-26,53830
2017-10-27,35541
2017-10-28,55275
2017-10-29,38166
2017-10-30,45429
2017-10-31,51070
2017-11-01,51854
2017-11-02,50942
2017-11-03,36729
2017-11-04,59348
2017-11-05,42574
2017-11-06,48136
2017-11-07,47300
2017-11-08,46076
2017-11-09,56788
2017-11-10,33936
2017-11-11,57095
2017-11-12,50817
2017-11-13,45094
2017-11-14,52280
2017-11-15,50348
2017-11-16,51018
2017-11-17,37859
2017-11-18,54110
2017-11-19,37095
2017-11-20,42518
2017-11-21,47977
2017-11-22,49379
2017-11-23,55428
2017-11-24,36406
2017-11-25,51330
2017-11-26,40674
2017-11-27,46289
2017-11-28,49010
2017-11-29,46889
2017-11-30,43360
2017-12-01,38126
2017-12-02,55630
2017-12-03,43212
2017-12-04,43904
2017-12-05,52276
2017-12-06,41982
2017-12-07,50342
2017-12-08,40034
2017-12-09,50309
2017-12-10,41570
2017-12-11,43447
2017-12-12,38038
2017-12-13,41598
2017-12-14,48054
2017-12-15,36635
2017-12-16,47668
2017-12-17,39289
2017-12-18,46202
2017-12-19,48199
2017-12-20,50279
2017-12-21,49774
2017-12-22,41615
2017-12-23,49566
2017-12-24,37675
2017-12-25,53030
2017-12-26,56886
2017-12-27,58407
2017-12-28,53852
2017-12-29,37266
2017-12-30,59046
2017-12-31,45948
2018-01-01,50681
2018-01-02,51995
2018-01-03,49866
2018-01-04,43219
2018-01-05,23213
2018-01-06,53368
2018-01-07,44657
2018-01-08,49233
2018-01-09,50197
2018-01-10,55355
2018-01-11,52291
2018-01-12,42051
2018-01-13,61057
2018-01-14,42306
2018-01-15,42641
2018-01-16,46567
2018-01-17,45705
2018-01-18,44909
2018-01-19,33831
2018-01-20,49726
2018-01-21,34146
2018-01-22,45161
2018-01-23,46846
2018-01-24,44636
2018-01-25,40448
2018-01-26,30807
2018-01-27,49450
2018-01-28,40564
2018-01-29,45174
2018-01-30,57129
2018-01-31,53516
2018-02-01,56281
2018-02-02,35476
2018-02-03,58140
2018-02-04,38503
2018-02-05,50386
2018-02-06,43215
2018-02-07,45381
2018-02-08,54212
2018-02-09,38248
2018-02-10,59601
2018-02-11,40272
2018-02-12,46322
2018-02-13,47402
2018-02-14,55700
2018-02-15,52060
2018-02-16,37498
2018-02-17,51406
2018-02-18,39360
2018-02-19,46083
2018-02-20,52968
2018-02-21,50442
2018-02-22,54666
2018-02-23,38088
2018-02-24,57058
2018-02-25,39487
2018-02-26,47389
2018-02-27,47658
2018-02-28,49971
2018-03-01,60213
2018-03-02,29698
2018-03-03,60076
2018-03-04,42024
2018-03-05,39977
2018-03-06,43569
2018-03-07,52016
2018-03-08,46584
2018-03-09,35743
2018-03-10,59938
2018-03-11,43109
2018-03-12,45487
2018-03-13,48890
2018-03-14,48658
2018-03-15,49733
2018-03-16,39646
2018-03-17,57006
2018-03-18,38412
2018-03-19,46119
2018-03-20,48952
2018-03-21,49733
2018-03-22,54660
2018-03-23,34162
2018-03-24,56029
2018-03-25,47304
2018-03-26,50156
2018-03-27,53361
2018-03-28,49087
2018-03-29,46039
2018-03-30,20107
2018-04-01,52263
2018-04-02,59743
2018-04-03,61985
2018-04-04,57373
2018-04-05,28279
2018-04-06,22472
2018-04-07,48312
2018-04-08,39835
2018-04-09,48201
2018-04-10,47567
2018-04-11,33073
2018-04-12,54343
2018-04-13,37225
2018-04-14,55965
2018-04-15,44498
2018-04-16,44964
2018-04-17,31081
2018-04-18,30909
2018-04-20,36735
2018-04-21,58157
2018-04-22,41689
2018-04-23,44643
2018-04-24,47050
2018-04-25,46529
2018-04-26,49843
2018-04-27,37537
2018-04-28,31458
2018-04-29,3262
2018-04-30,31656
2018-05-01,40949
2018-05-02,42389
2018-05-03,51593
2018-05-04,33326
2018-05-05,56033
2018-05-06,40323
2018-05-07,48189
2018-05-08,48614
2018-05-09,48402
2018-05-10,52624
2018-05-11,34486
2018-05-12,59833
2018-05-13,41257
2018-05-14,51263
2018-05-15,46699
2018-05-16,48718
2018-05-17,44113
2018-05-18,25952
2018-05-19,23513
2018-05-20,42753
2018-05-21,38443
2018-05-22,45327
2018-05-23,47771
2018-05-24,53646
2018-05-25,35341
2018-05-26,47139
2018-05-27,48153
2018-05-28,47917
2018-05-29,47326
2018-05-30,47804
2018-05-31,50050
2018-06-01,32026
2018-06-02,59117
2018-06-03,38783
2018-06-04,45863
2018-06-05,47453
2018-06-06,49888
2018-06-07,51710
2018-06-08,42386
2018-06-09,50171
2018-06-10,40326
2018-06-11,46114
2018-06-12,45831
2018-06-13,43245
2018-06-14,51694
2018-06-15,38517
2018-06-16,50909
2018-06-17,45611
2018-06-18,54241
2018-06-19,53168
2018-06-20,50438
2018-06-21,49870
2018-06-22,36246
2018-06-23,48733
2018-06-24,45560
2018-06-25,47441
2018-06-26,50458
2018-06-27,46775
2018-06-28,54722
2018-06-29,33533
2018-06-30,49383
2018-07-01,37653
2018-07-02,50167
2018-07-03,50288
2018-07-04,49250
2018-07-05,56947
2018-07-06,35225
2018-07-07,52768
2018-07-08,50185
2018-07-09,56725
2018-07-10,54732
2018-07-11,50877
2018-07-12,57273
2018-07-13,35730
2018-07-14,53688
2018-07-15,38906
2018-07-16,51144
2018-07-17,55384
2018-07-18,52644
2018-07-19,52055
2018-07-20,36338
2018-07-21,55716
2018-07-22,49374
2018-07-23,48703
2018-07-24,53023
2018-07-25,49372
2018-07-26,55304
2018-07-27,36382
2018-07-28,51755
2018-07-29,43266
2018-07-30,49540
2018-07-31,53149
2018-08-01,57976
2018-08-02,59939
2018-08-03,39165
2018-08-04,49550
2018-08-05,42839
2018-08-06,50925
2018-08-07,53491
2018-08-08,54409
2018-08-09,53185
2018-08-10,37437
2018-08-11,55600
2018-08-12,43986
2018-08-13,51914
2018-08-14,51342
2018-08-15,62897
2018-08-16,49840
2018-08-17,35467
2018-08-18,62290
2018-08-19,48174
2018-08-20,48958
2018-08-21,53590
2018-08-22,52003
2018-08-23,51719
2018-08-24,37692
2018-08-25,50696
2018-08-26,43532
2018-08-27,48044
2018-08-28,53789
2018-08-29,60601
2018-08-30,51096
2018-08-31,39046
